Angle (deg),Displacement (m),ux (m/s),uy (m/s)
1,0.0260347,0.1053008,-0.0006725909
1.1,0.0298249,0.1206395,-0.0008476213
1.2,0.0338969,0.1371219,-0.001051013
1.3,0.03815997,0.1543819,-0.001281918
1.4,0.04255614,0.1721856,-0.001539735
1.5,0.04704744,0.19038,-0.00182404
1.6,0.0516084,0.2088629,-0.002134537
1.7,0.05622144,0.2275638,-0.002471015
1.8,0.06087402,0.2464325,-0.002833312
1.9,0.06555711,0.2654333,-0.003221319
2,0.07026386,0.2845389,-0.00363494
2.1,0.07498921,0.3037295,-0.00407411
2.2,0.0797292,0.3229898,-0.004538777
2.3,0.08448066,0.3423075,-0.005028895
2.4,0.08924105,0.361673,-0.005544427
2.5,0.09400842,0.381079,-0.006085346
2.6,0.098781,0.4005189,-0.006651625
2.7,0.1035575,0.419988,-0.007243246
2.799999,0.1083366,0.4394819,-0.007860187
2.899999,0.1131174,0.4589973,-0.00850243
2.999999,0.1178989,0.478531,-0.009169964
3.099999,0.1226805,0.4980808,-0.009862771
3.199999,0.1274614,0.5176443,-0.01058084
3.299999,0.132241,0.5372198,-0.01132417
3.399999,0.1370188,0.5568057,-0.01209273
3.499999,0.1417943,0.5764006,-0.01288652
3.599999,0.146567,0.5960032,-0.01370553
3.699999,0.1513367,0.6156126,-0.01454975
3.799999,0.1561027,0.6352279,-0.01541917
3.899998,0.1608649,0.6548479,-0.01631378
3.999998,0.1656228,0.6744721,-0.01723357
4.099998,0.1703762,0.6940999,-0.01817853
4.199998,0.1751248,0.7137304,-0.01914865
4.299998,0.1798682,0.7333633,-0.02014393
4.399998,0.1846062,0.752998,-0.02116435
4.499998,0.1893386,0.772634,-0.0222099
4.599998,0.1940651,0.792271,-0.02328059
4.699998,0.1987855,0.8119083,-0.02437638
4.799998,0.2034994,0.8315458,-0.02549728
4.899998,0.2082068,0.8511832,-0.02664327
4.999998,0.2129073,0.87082,-0.02781435
5.099998,0.2176008,0.890456,-0.02901051
5.199997,0.2222871,0.9100907,-0.03023173
5.299997,0.2269659,0.9297244,-0.03147801
5.399997,0.2316371,0.9493562,-0.03274933
5.499997,0.2363005,0.9689865,-0.03404569
5.599997,0.2409557,0.9886144,-0.03536708
5.699997,0.2456028,1.00824,-0.03671348
5.799997,0.2502415,1.027864,-0.03808487
5.899997,0.2548716,1.047484,-0.03948127
5.999997,0.2594929,1.067102,-0.04090264
6.099997,0.2641053,1.086717,-0.04234899
6.199996,0.2687085,1.106328,-0.04382027
6.299996,0.2733024,1.125937,-0.04531652
6.399996,0.2778869,1.145541,-0.04683769
6.499996,0.2824617,1.165142,-0.0483838
6.599996,0.2870267,1.18474,-0.04995479
6.699996,0.2915818,1.204333,-0.05155072
6.799996,0.2961267,1.223922,-0.05317149
6.899996,0.3006613,1.243507,-0.05481715
6.999996,0.3051854,1.263088,-0.05648766
7.099996,0.3096989,1.282664,-0.05818301
7.199996,0.3142016,1.302235,-0.0599032
7.299995,0.3186935,1.321802,-0.06164819
7.399995,0.3231742,1.341364,-0.063418
7.499995,0.3276436,1.360921,-0.06521261
7.599995,0.3321016,1.380472,-0.06703198
7.699995,0.3365482,1.400019,-0.06887611
7.799995,0.340983,1.41956,-0.070745
7.899995,0.3454059,1.439096,-0.0726386
7.999995,0.3498169,1.458626,-0.07455692
8.099995,0.3542157,1.47815,-0.07649995
8.199995,0.3586022,1.497669,-0.07846766
8.299995,0.3629763,1.517182,-0.08046006
8.399996,0.3673379,1.536689,-0.08247709
8.499996,0.3716867,1.556189,-0.08451879
8.599997,0.3760227,1.575684,-0.08658507
8.699997,0.3803456,1.595172,-0.08867599
8.799997,0.3846555,1.614654,-0.09079147
8.899998,0.388952,1.634129,-0.09293155
8.999998,0.3932352,1.653598,-0.09509619
9.099998,0.3975049,1.67306,-0.09728535
9.199999,0.4017608,1.692515,-0.09949902
9.299999,0.406003,1.711964,-0.1017372
9.4,0.4102311,1.731405,-0.1039999
9.5,0.4144453,1.750839,-0.106287
9.6,0.4186452,1.770266,-0.1085986
9.700001,0.4228308,1.789686,-0.1109347
9.800001,0.427002,1.809099,-0.1132951
9.900002,0.4311586,1.828504,-0.1156799
10,0.4353005,1.847901,-0.1180891
10.1,0.4394276,1.867291,-0.1205227
10.2,0.4435398,1.886673,-0.1229806
10.3,0.4476368,1.906047,-0.1254628
10.4,0.4517187,1.925413,-0.1279693
10.5,0.4557852,1.944771,-0.1305001
10.6,0.4598365,1.964122,-0.1330552
10.7,0.4638721,1.983464,-0.1356345
10.8,0.4678921,2.002797,-0.138238
10.90001,0.4718962,2.022122,-0.1408657
11.00001,0.4758847,2.04144,-0.1435176
11.10001,0.479857,2.060748,-0.1461936
11.20001,0.4838132,2.080047,-0.1488938
11.30001,0.4877533,2.099338,-0.1516181
11.40001,0.491677,2.11862,-0.1543665
11.50001,0.4955843,2.137893,-0.1571389
11.60001,0.4994752,2.157158,-0.1599354
11.70001,0.5033494,2.176413,-0.162756
11.80001,0.5072069,2.195659,-0.1656005
11.90001,0.5110475,2.214896,-0.1684689
12.00001,0.5148711,2.234123,-0.1713614
12.10001,0.5186778,2.253341,-0.1742778
12.20001,0.5224673,2.27255,-0.1772181
12.30001,0.5262396,2.291749,-0.1801824
12.40001,0.5299946,2.310938,-0.1831704
12.50001,0.5337322,2.330118,-0.1861823
12.60001,0.5374522,2.349287,-0.189218
12.70001,0.5411547,2.368447,-0.1922775
12.80001,0.5448394,2.387597,-0.1953608
12.90001,0.5485064,2.406736,-0.1984679
13.00001,0.5521556,2.425866,-0.2015987
13.10001,0.5557866,2.444985,-0.2047531
13.20001,0.5593998,2.464094,-0.2079312
13.30001,0.5629948,2.483192,-0.211133
13.40001,0.5665717,2.50228,-0.2143583
13.50002,0.5701301,2.521358,-0.2176073
13.60002,0.5736703,2.540424,-0.2208799
13.70002,0.5771921,2.55948,-0.224176
13.80002,0.5806952,2.578525,-0.2274956
13.90002,0.5841798,2.597559,-0.2308387
14.00002,0.5876458,2.616582,-0.2342052
14.10002,0.591093,2.635595,-0.2375953
14.20002,0.5945213,2.654595,-0.2410087
14.30002,0.5979308,2.673585,-0.2444455
14.40002,0.6013213,2.692563,-0.2479056
14.50002,0.6046929,2.71153,-0.2513891
14.60002,0.6080453,2.730485,-0.2548959
14.70002,0.6113786,2.749429,-0.258426
14.80002,0.6146926,2.768361,-0.2619793
14.90002,0.6179875,2.787282,-0.2655557
15.00002,0.6212629,2.806191,-0.2691555
15.10002,0.624519,2.825088,-0.2727784
15.20002,0.6277555,2.843972,-0.2764243
15.30002,0.6309725,2.862845,-0.2800934
15.40002,0.6341699,2.881705,-0.2837856
15.50002,0.6373479,2.900554,-0.2875009
15.60002,0.640506,2.919389,-0.2912391
15.70002,0.6436444,2.938213,-0.2950003
15.80002,0.646763,2.957024,-0.2987845
15.90002,0.6498619,2.975823,-0.3025916
16.00002,0.6529409,2.994609,-0.3064216
16.10003,0.6559999,3.013382,-0.3102745
16.20003,0.6590389,3.032142,-0.3141502
16.30003,0.662058,3.05089,-0.3180487
16.40003,0.6650569,3.069625,-0.32197
16.50003,0.6680358,3.088346,-0.3259139
16.60003,0.6709945,3.107054,-0.3298806
16.70003,0.6739331,3.12575,-0.33387
16.80003,0.6768515,3.144433,-0.3378822
16.90003,0.6797495,3.163101,-0.3419168
17.00003,0.6826273,3.181756,-0.345974
17.10003,0.6854849,3.200398,-0.3500538
17.20003,0.688322,3.219027,-0.3541561
17.30003,0.6911389,3.237641,-0.3582808
17.40003,0.6939353,3.256242,-0.3624281
17.50003,0.6967112,3.274829,-0.3665978
17.60003,0.6994666,3.293402,-0.3707898
17.70003,0.7022017,3.311962,-0.3750043
17.80003,0.7049162,3.330507,-0.379241
17.90003,0.7076102,3.349038,-0.3835
18.00003,0.7102836,3.367555,-0.3877813
18.10003,0.7129365,3.386058,-0.3920848
18.20003,0.7155688,3.404546,-0.3964104
18.30003,0.7181805,3.42302,-0.4007582
18.40003,0.7207716,3.441479,-0.4051282
18.50003,0.7233421,3.459924,-0.4095201
18.60003,0.725892,3.478354,-0.4139342
18.70004,0.7284211,3.49677,-0.4183703
18.80004,0.7309296,3.51517,-0.4228284
18.90004,0.7334174,3.533556,-0.4273083
19.00004,0.7358846,3.551927,-0.4318102
19.10004,0.7383311,3.570283,-0.436334
19.20004,0.740757,3.588623,-0.4408795
19.30004,0.7431622,3.606949,-0.4454469
19.40004,0.7455466,3.625259,-0.450036
19.50004,0.7479103,3.643554,-0.4546468
19.60004,0.7502534,3.661833,-0.4592795
19.70004,0.7525758,3.680097,-0.4639336
19.80004,0.7548774,3.698345,-0.4686095
19.90004,0.7571585,3.716578,-0.4733068
20.00004,0.7594188,3.734795,-0.4780258
20.10004,0.7616584,3.752996,-0.4827661
20.20004,0.7638775,3.771182,-0.487528
20.30004,0.7660758,3.789351,-0.4923113
20.40004,0.7682536,3.807504,-0.4971161
20.50004,0.7704108,3.825642,-0.501942
20.60004,0.7725474,3.843763,-0.5067894
20.70004,0.7746634,3.861868,-0.511658
20.80004,0.7767586,3.879956,-0.5165479
20.90004,0.7788334,3.898028,-0.5214589
21.00004,0.7808878,3.916084,-0.526391
21.10004,0.7829215,3.934123,-0.5313444
21.20004,0.7849348,3.952146,-0.5363188
21.30005,0.7869276,3.970152,-0.5413142
21.40005,0.7888999,3.988141,-0.5463306
21.50005,0.7908517,4.006113,-0.551368
21.60005,0.7927834,4.024069,-0.5564263
21.70005,0.7946944,4.042007,-0.5615055
21.80005,0.7965852,4.059928,-0.5666054
21.90005,0.7984558,4.077832,-0.5717261
22.00005,0.800306,4.095719,-0.5768678
22.10005,0.8021359,4.113589,-0.5820299
22.20005,0.8039457,4.131441,-0.5872128
22.30005,0.8057351,4.149276,-0.5924163
22.40005,0.8075046,4.167094,-0.5976405
22.50005,0.8092538,4.184894,-0.6028852
22.60005,0.8109831,4.202676,-0.6081503
22.70005,0.8126923,4.22044,-0.613436
22.80005,0.8143815,4.238187,-0.618742
22.90005,0.8160507,4.255916,-0.6240685
23.00005,0.8177,4.273627,-0.6294153
23.10005,0.8193294,4.29132,-0.6347823
23.20005,0.8209391,4.308995,-0.6401696
23.30005,0.822529,4.326652,-0.6455771
23.40005,0.8240991,4.34429,-0.6510047
23.50005,0.8256496,4.36191,-0.6564525
23.60005,0.8271803,4.379512,-0.6619204
23.70005,0.8286917,4.397096,-0.6674083
23.80005,0.8301832,4.414661,-0.6729163
23.90005,0.8316554,4.432208,-0.678444
24.00006,0.8331082,4.449736,-0.6839918
24.10006,0.8345416,4.467245,-0.6895595
24.20006,0.8359556,4.484735,-0.6951467
24.30006,0.8373504,4.502206,-0.7007539
24.40006,0.838726,4.519659,-0.7063808
24.50006,0.8400825,4.537093,-0.7120274
24.60006,0.8414198,4.554507,-0.7176936
24.70006,0.8427381,4.571902,-0.7233794
24.80006,0.8440374,4.589278,-0.7290846
24.90006,0.8453177,4.606635,-0.7348093
25.00006,0.8465793,4.623973,-0.7405537
25.10006,0.8478221,4.641291,-0.7463173
25.20006,0.8490461,4.65859,-0.7521005
25.30006,0.8502513,4.675869,-0.7579027
25.40006,0.8514382,4.693129,-0.7637243
25.50006,0.8526062,4.710368,-0.769565
25.60006,0.8537562,4.727589,-0.7754248
25.70006,0.8548875,4.744789,-0.7813041
25.80006,0.8560005,4.761969,-0.7872021
25.90006,0.8570952,4.77913,-0.7931193
26.00006,0.8581718,4.79627,-0.7990557
26.10006,0.8592302,4.81339,-0.8050107
26.20006,0.8602707,4.830491,-0.8109846
26.30006,0.8612931,4.847571,-0.8169776
26.40006,0.8622976,4.864631,-0.8229892
26.50006,0.8632843,4.88167,-0.8290194
26.60007,0.8642532,4.898689,-0.8350685
26.70007,0.8652043,4.915687,-0.8411362
26.80007,0.8661382,4.932665,-0.8472226
26.90007,0.8670542,4.949622,-0.8533273
27.00007,0.8679529,4.966558,-0.8594508
27.10007,0.8688341,4.983474,-0.8655924
27.20007,0.869698,5.000369,-0.8717527
27.30007,0.870545,5.017243,-0.8779312
27.40007,0.8713747,5.034096,-0.8841282
27.50007,0.8721872,5.050928,-0.890343
27.60007,0.8729829,5.067739,-0.8965765
27.70007,0.8737616,5.084528,-0.9028277
27.80007,0.8745235,5.101297,-0.9090974
27.90007,0.8752686,5.118044,-0.9153848
28.00007,0.8759972,5.13477,-0.9216905
28.10007,0.8767092,5.151474,-0.9280139
28.20007,0.8774048,5.168158,-0.9343553
28.30007,0.8780838,5.184819,-0.9407147
28.40007,0.8787465,5.201458,-0.9470918
28.50007,0.879393,5.218076,-0.9534864
28.60007,0.8800237,5.234674,-0.9598991
28.70007,0.880638,5.251247,-0.9663292
28.80007,0.8812364,5.2678,-0.972777
28.90007,0.881819,5.284331,-0.9792422
29.00007,0.8823856,5.300839,-0.985725
29.10007,0.8829366,5.317326,-0.9922254
29.20008,0.8834723,5.333791,-0.9987428
29.30008,0.8839922,5.350233,-1.005277
29.40008,0.8844966,5.366652,-1.01183
29.50008,0.8849856,5.38305,-1.018399
29.60008,0.8854597,5.399426,-1.024986
29.70008,0.8859183,5.415779,-1.03159
29.80008,0.8863622,5.432109,-1.03821
29.90008,0.8867906,5.448417,-1.044848
30.00008,0.8872045,5.464702,-1.051503
30.10008,0.8876034,5.480964,-1.058174
30.20008,0.8879877,5.497203,-1.064863
30.30008,0.8883574,5.513421,-1.071568
30.40008,0.8887126,5.529615,-1.07829
30.50008,0.8890533,5.545786,-1.085029
30.60008,0.8893797,5.561934,-1.091784
30.70008,0.8896918,5.578058,-1.098556
30.80008,0.8899897,5.59416,-1.105345
30.90008,0.8902736,5.610239,-1.112149
31.00008,0.8905435,5.626293,-1.118971
31.10008,0.8907998,5.642326,-1.125808
31.20008,0.8910421,5.658334,-1.132662
31.30008,0.8912706,5.674319,-1.139532
31.40008,0.8914858,5.690281,-1.146419
31.50008,0.891687,5.706219,-1.153321
31.60008,0.8918753,5.722133,-1.16024
31.70008,0.89205,5.738024,-1.167175
31.80009,0.8922117,5.753891,-1.174125
31.90009,0.8923603,5.769734,-1.181092
32.00008,0.8924958,5.785553,-1.188074
32.10008,0.8926182,5.801349,-1.195072
32.20008,0.8927279,5.817119,-1.202086
32.30008,0.8928249,5.832867,-1.209116
32.40008,0.8929093,5.848589,-1.21616
32.50008,0.8929811,5.864288,-1.223221
32.60007,0.8930405,5.879962,-1.230297
32.70007,0.8930874,5.895613,-1.237389
32.80007,0.8931221,5.911239,-1.244496
32.90007,0.8931447,5.926839,-1.251618
33.00007,0.8931553,5.942418,-1.258756
33.10007,0.8931537,5.95797,-1.265909
33.20007,0.8931404,5.973497,-1.273077
33.30006,0.8931152,5.989001,-1.28026
33.40006,0.8930782,6.00448,-1.287459
33.50006,0.89303,6.019934,-1.294672
33.60006,0.8929699,6.035363,-1.3019
33.70006,0.8928987,6.050767,-1.309143
33.80006,0.8928158,6.066146,-1.316401
33.90005,0.892722,6.081501,-1.323674
34.00005,0.8926169,6.09683,-1.330961
34.10005,0.8925009,6.112134,-1.338263
34.20005,0.8923739,6.127414,-1.34558
34.30005,0.892236,6.142667,-1.352911
34.40005,0.8920875,6.157896,-1.360256
34.50005,0.891928,6.173099,-1.367617
34.60004,0.8917583,6.188277,-1.374991
34.70004,0.8915781,6.20343,-1.382379
34.80004,0.8913873,6.218557,-1.389783
34.90004,0.8911864,6.233658,-1.397199
35.00004,0.8909752,6.248734,-1.40463
35.10004,0.8907539,6.263784,-1.412076
35.20004,0.8905227,6.278809,-1.419535
35.30003,0.8902815,6.293808,-1.427008
35.40003,0.8900305,6.30878,-1.434495
35.50003,0.8897696,6.323728,-1.441996
35.60003,0.8894994,6.338649,-1.44951
35.70003,0.8892194,6.353544,-1.457038
35.80003,0.8889299,6.368413,-1.46458
35.90002,0.888631,6.383256,-1.472135
36.00002,0.8883229,6.398073,-1.479704
36.10002,0.8880058,6.412865,-1.487286
36.20002,0.8876795,6.427629,-1.494882
36.30002,0.8873439,6.442367,-1.502491
36.40002,0.8869996,6.457079,-1.510113
36.50002,0.8866464,6.471765,-1.517749
36.60001,0.8862845,6.486423,-1.525397
36.70001,0.8859139,6.501056,-1.533059
36.80001,0.8855348,6.515662,-1.540733
36.90001,0.8851472,6.530241,-1.548421
37.00001,0.8847511,6.544795,-1.556121
37.10001,0.8843467,6.55932,-1.563835
37.2,0.8839341,6.573819,-1.57156
37.3,0.8835135,6.588292,-1.579299
37.4,0.8830847,6.602737,-1.58705
37.5,0.882648,6.617157,-1.594814
37.6,0.8822032,6.631547,-1.60259
37.7,0.8817509,6.645913,-1.610379
37.8,0.8812907,6.66025,-1.61818
37.89999,0.8808228,6.67456,-1.625994
37.99999,0.8803475,6.688844,-1.63382
38.09999,0.8798646,6.703099,-1.641657
38.19999,0.8793744,6.717328,-1.649507
38.29999,0.8788769,6.73153,-1.657369
38.39999,0.878372,6.745704,-1.665244
38.49998,0.8778602,6.759851,-1.673129
38.59998,0.8773413,6.77397,-1.681027
38.69998,0.8768154,6.788061,-1.688937
38.79998,0.8762825,6.802126,-1.696858
38.89998,0.8757428,6.816162,-1.704791
38.99998,0.8751967,6.830171,-1.712736
39.09998,0.8746434,6.844151,-1.720692
39.19997,0.874084,6.858106,-1.728659
39.29997,0.8735178,6.872031,-1.736638
39.39997,0.8729452,6.885928,-1.744629
39.49997,0.8723664,6.899797,-1.75263
39.59997,0.8717811,6.91364,-1.760643
39.69997,0.8711895,6.927454,-1.768667
39.79996,0.8705919,6.941238,-1.776702
39.89996,0.8699887,6.954997,-1.784748
39.99996,0.869379,6.968726,-1.792805
40.09996,0.8687637,6.982427,-1.800873
40.19996,0.8681425,6.9961,-1.808952
40.29996,0.8675153,7.009745,-1.817041
40.39996,0.8668827,7.023361,-1.825141
40.49995,0.8662444,7.03695,-1.833252
40.59995,0.8656006,7.050509,-1.841373
40.69995,0.8649513,7.06404,-1.849505
40.79995,0.8642968,7.077544,-1.857647
40.89995,0.8636367,7.091017,-1.8658
40.99995,0.8629715,7.104463,-1.873962
41.09995,0.862301,7.11788,-1.882136
41.19994,0.8616255,7.131268,-1.890319
41.29994,0.860945,7.144628,-1.898512
41.39994,0.8602595,7.157958,-1.906715
